id,marker,meanrr,medianrr,meanhr,sdnn,rmssd,nn50,p_nn50,vlf_percent,lf_percent,hf_percent,lf_hf,lf_n_u,hf_n_u,vlf_abs,lf_abs,hf_abs,recordingtime_s
pingvin,physical,813.819,812.5,73.7265,59.1865,25.6946,7,4.7297,50.798,45.5035,3.6986,12.303,92.4829,7.5171,2208.311,1978.1445,160.7849,120.4452
pottyoslabda,baseline,663.9737,656.25,90.365,40.839,28.2667,11,6.25,13.096,21.91,64.994,0.3371,25.2117,74.7883,243.9002,408.0537,1210.4538,116.8594
pottyoslabda,cognitive,618.3942,617.1875,97.0255,29.8953,17.0318,5,0.7949,31.4298,50.6399,17.9303,2.8243,73.8512,26.1488,238.0104,383.4835,135.7818,388.9699
pottyoslabda,physical,618.4762,609.375,97.0126,52.4914,27.9947,13,6.701,21.1802,21.8669,56.9529,0.3839,27.7429,72.2571,126.7327,130.8417,340.7799,119.9844
puccparade,baseline,840.5463,835.9375,71.3821,34.3103,26.298,8,5.7554,21.3182,46.3853,32.2965,1.4362,58.953,41.047,223.8982,487.169,339.1988,116.8359
puccparade,cognitive,818.05,812.5,73.3452,38.8685,26.6492,26,5.4968,47.6933,28.7366,23.5701,1.2192,54.9386,45.0614,444.1153,267.5919,219.4826,386.9376
puccparade,physical,770.4828,765.625,77.8733,40.4574,35.9105,23,14.7436,9.985,64.3532,25.6619,2.5077,71.4916,28.5084,139.0349,896.0816,357.3271,120.1953
pumukli2,baseline,720.6437,703.125,83.2589,90.0526,50.4708,42,25.6098,12.6331,76.4734,10.8936,7.02,87.5312,12.4688,959.8095,5810.1357,827.65,118.1856
pumukli2,cognitive,709.0142,695.3125,84.6245,51.2345,34.083,59,10.7861,25.341,54.3451,20.3139,2.6753,72.7911,27.2089,407.4652,873.8298,326.6319,387.8308
pumukli2,physical,660.0571,648.4375,90.9012,78.579,48.7861,33,18.232,21.0664,53.6022,25.3314,2.116,67.908,32.092,804.0673,2045.9018,966.8537,119.4703
pupak,baseline,899.9171,906.25,66.6728,52.5644,49.6114,47,35.6061,25.683,25.2694,49.0476,0.5152,34.0021,65.9979,640.2896,629.9761,1222.7781,118.7891
